cycle time status pattern evalMethod numNode numService numBehavior numSolution Solution
0 1481671286048 true 0 0 1 10 2 1 n0r9
1 1481671287064 true 0 0 1 10 2 1 n0r5
2 1481671287731 true 0 0 1 10 2 1 n0r7
3 1481671288282 true 0 0 1 10 2 1 n0r9
4 1481671288848 true 0 0 1 10 2 1 n0r0
cycle time status pattern evalMethod numNode numService numBehavior numSolution Solution
0 1481672072202 true 0 0 1 10 2 1 n0r5
1 1481672073046 true 0 0 1 10 2 1 n0r1
2 1481672073710 true 0 0 1 10 2 1 n0r7
3 1481672074399 true 0 0 1 10 2 1 n0r5
4 1481672074987 true 0 0 1 10 2 1 n0r8
